puesto	tema	tipo	escrito_en_puesto	escrito_en_tema	semejanza	enunciado
27	12	nuevo				Sistemas de gestión técnica de edificios y monitorización: BMS/SCADA, sensores, alarmas, históricos, telemedida y actuación ante avisos.
27	13	nuevo				Mantenimiento preventivo, correctivo y predictivo: gamas, órdenes de trabajo, diagnóstico de averías, priorización, trazabilidad, repuestos, inventario y documentación técnica.
27	14	nuevo				Medidas eléctricas e instrumentación: multímetro, pinza amperimétrica, telurómetro, medidor de aislamiento, analizador de redes y termografía básica.
27	15	nuevo				Trabajos en instalaciones eléctricas: consignación, cinco reglas de oro, trabajos en tensión o proximidad, permisos de trabajo y coordinación de actividades empresariales.
27	16	nuevo				Eficiencia energética y sostenibilidad en instalaciones: ahorro energético, monitorización de consumos, mantenimiento orientado a eficiencia, tecnología LED, climatización eficiente y gestión de residuos.
27	17	nuevo				Planificación de intervenciones en instalaciones críticas: análisis de impacto, ventanas de mantenimiento, coordinación con producción, comunicación de incidencias, planes de contingencia y retorno al servicio.
27	18	nuevo				Innovación aplicada al mantenimiento: sensorización IoT, mantenimiento predictivo, gemelo digital de instalaciones, telegestión energética, baterías, autoconsumo y automatización de edificios.
27	19	parecido	34	20	0.70	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV (riesgo eléctrico, trabajos en altura, espacios confinados, manipulación de cargas, productos químicos, EPIs señalización y etiquetado); pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas..
29	1	nuevo				Elementos constitutivos de un sistema de información: características y funciones. Arquitectura de ordenadores, componentes internos de los equipos microinformáticos y tecnologías actuales aplicables al puesto de usuario.
29	2	nuevo				Diagnóstico, mantenimiento y reparación de equipos microinformáticos: principales averías, mensajes de error de la BIOS, sustitución y detección de averías en discos duros, memorias, tarjetas gráficas y tarjetas de red; pruebas de rendimiento Benchmark y sus tipos.
29	3	nuevo				Sistemas de almacenamiento y recuperación de información: discos duros, discos de estado sólido, memorias flash, sistemas SAN y NAS; herramientas software de copia de seguridad, compresión de datos y clonación de discos; recuperación de datos en caso de borrado accidental, avería o ataque de virus.
29	4	nuevo				Periféricos y conectividad del puesto informático: elementos de impresión, almacenamiento, visualización, digitalización y multimedia; conectividad USB, RJ45, VGA, DVI, HDMI y DisplayPort.
29	5	nuevo				Sistemas operativos: conceptos generales, componentes funcionales y estructura; gestión de procesos, algoritmos de planificación, concurrencia, multitarea y multiprogramación.
29	6	nuevo				Sistema operativo Windows 11: instalación del cliente Windows, interfaz y aplicaciones, gestión de discos y controladores, conectividad de red, protección y recuperación del sistema, configuración de la seguridad, centro de notificaciones, personalización, configuración básica y avanzada, partición de recuperación, panel de configuración, modo desarrollador, políticas de grupo —GPO—, puntos de restauración y opciones de reinicio para instalar actualizaciones.
29	7	nuevo				Automatización y administración mediante PowerShell: entorno PowerShell, ayuda, variables, operadores, arrays, strings, metacaracteres, tuberías, direccionamiento, estructuras de control y gestión de ficheros.
29	8	nuevo				Administración de sistemas Windows Server: Active Directory, servicio de directorio, controlador de dominio, gestión básica de usuarios, recursos y servicios asociados.
29	9	nuevo				Administración del sistema operativo Linux: instalación, estructura y sistema de archivos, usuarios y grupos, utilización del shell, arranques y paradas, herramientas básicas de administración, sistemas de ficheros, gestión de discos, administración del software, salvaguarda y restauración, filtros grep, editor de flujo sed y lenguaje awk.
29	10	nuevo				Virtualización de sistemas y escritorios: virtualización de escritorio remoto, modelos de virtualización —PC virtual, escritorio virtual, virtualización de aplicaciones y workspace virtual— y modos de despliegue on-premise, cloud e híbridos.
29	11	nuevo				Herramientas colaborativas y ofimática Microsoft 365: usos, métodos de compartición de información, trabajo en equipo con OneDrive, Teams y SharePoint; Word, Excel, PowerPoint y Outlook, configuración de cliente de correo electrónico, funcionalidades e integración con las herramientas colaborativas.
29	12	nuevo				Bases de datos y lenguaje SQL: lenguaje de interrogación de bases de datos, estándar ANSI SQL, lenguaje de definición de datos —DDL—, lenguaje de manipulación de datos —DML— y lenguaje de consulta de datos —DQL.
29	13	nuevo				Redes, Internet y comunicaciones: arquitectura de red de Internet, origen, evolución y estado actual, principales servicios, protocolos HTTP, HTTPS y TLS, configuración, privacidad y seguridad de navegadores web; protocolos IPv4 e IPv6, cabeceras, direccionamiento, subredes, mecanismos de convivencia y transición; redes de área local, conceptos, topologías, control de acceso, segmentación, normalizaciones IEEE 802; redes inalámbricas IEEE 802.11, estándares, técnicas de transmisión, dispositivos de interconexión, topologías, seguridad y autenticación 802.1x.
29	14	nuevo				Seguridad informática, criptografía y protección en redes: seguridad en el puesto de usuario, mecanismos de infección y protección en sistemas operativos de ordenadores personales, antivirus, malware, virus, gusanos, troyanos, adware, spyware y ransomware; seguridad y protección en redes de comunicaciones, correo y servicios de Internet, seguridad perimetral, acceso remoto seguro, redes privadas virtuales —VPN—, técnicas y mecanismos de seguridad; criptografía, algoritmos, certificados digitales, autoridades de certificación, sellado de tiempo, firma electrónica, instalación y administración de certificados electrónicos y software de la FNMT.
29	15	nuevo				Normativa técnica básica de administración electrónica e interoperabilidad.
29	16	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas. .
4	1	nuevo				La producción audiovisual en radio, televisión y entornos digitales: fases del proceso productivo y funciones básicas del área de producción.
4	2	nuevo				Tareas principales del puesto de Ayudante de Producción en RTVA/CSRTV: apoyo operativo a la preparación, coordinación y seguimiento de programas, informativos, retransmisiones, grabaciones y eventos.
